LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
200000,1,3,2,44,-1,-1,-1,-1,-1,0,38409,46365,57280,61782,75579,67201,27022,28347,8482,17026,21343,34143,0
80000,2,2,1,50,-1,0,-1,0,1,-1,27846,29206,20462,22235,26507,18120,6221,9005,8647,2959,15743,3052,0
300000,2,3,2,44,1,0,0,3,-1,-1,113139,122432,110434,94515,85631,67035,21257,42384,75384,17028,71026,17670,0
150000,1,3,1,56,1,4,2,1,4,2,35198,35145,44913,31952,31080,30737,3282,17324,11873,8809,23313,14992,0
20000,1,2,2,41,0,-1,1,0,2,-1,8662,6243,9070,8362,8702,10219,5230,4613,7162,3293,1203,3048,1
500000,2,2,1,65,-1,-1,-1,-1,-1,-1,315937,322888,274153,288533,238237,283292,50733,178880,168004,170498,81562,199931,0
200000,1,2,2,54,0,-1,-1,-1,0,-1,85921,101876,104220,94219,79070,79402,24933,44206,90816,84374,40258,16253,0
200000,2,2,2,22,-1,-1,0,-1,0,-1,123599,104988,124249,134960,141494,150835,18526,24668,69750,77625,66574,24966,0
20000,1,2,1,29,2,-1,2,2,0,3,1826,1427,1508,1040,1144,1010,1407,907,1135,527,874,330,0
80000,2,2,2,35,2,2,1,2,1,2,30121,31732,37399,43902,41395,40284,11661,5651,31455,15129,5168,18479,0
50000,2,1,1,30,-1,-1,-1,-1,-1,-1,15941,11319,13496,13608,11159,12000,2880,8297,9528,3720,4087,2574,0
300000,2,2,1,60,1,4,1,4,1,1,85229,93323,87170,99232,95852,87629,13106,63436,39979,35956,19283,16556,0
150000,2,2,2,21,0,-1,-1,-1,-1,-1,63935,73225,88359,82512,79547,78326,39573,57891,22364,23192,62554,65134,0
200000,1,1,2,60,5,4,7,3,7,4,29974,31583,20766,16279,18684,19302,7363,2762,8804,6228,1328,10782,1
80000,2,2,2,39,2,-1,0,1,-1,0,45732,46800,44809,38362,35767,29649,15648,14496,35407,34085,20803,4815,1
30000,2,2,2,49,-1,0,-1,-1,-1,-1,7140,7452,7260,7476,7788,6756,2044,1500,5141,5956,5133,5037,1
100000,1,2,2,30,-1,-1,-1,0,-1,0,25788,24966,25286,31748,27045,14397,18313,21093,6074,28377,4690,8609,0
20000,1,2,2,24,-1,-1,-1,-1,-1,-1,3388,3120,3490,2934,3318,3257,1875,576,751,1859,776,707,0
200000,2,2,1,69,-1,-1,0,-1,1,0,84610,74044,65594,70307,62221,59971,73351,52341,46405,20659,7853,27857,0
150000,2,2,1,49,-1,2,2,0,0,0,65294,51113,49517,51131,59561,62500,37355,21692,24726,28843,12050,23472,0
